Frequency,Channel A,Channel B
(ms),(V),(V)

9.69999975,-0.52792810,-5.37616800
9.71999975,-0.52792810,-5.37616800
9.73999975,-0.52792810,-5.29712100
9.75999975,-0.52792810,-5.29712100
9.77999975,-0.52792810,-5.29712100
9.79999975,-0.52792810,-5.29712100
9.81999975,-0.52792810,-5.29712100
9.83999975,-0.52792810,-5.29712100
9.85999975,-0.52792810,-5.21807300
9.87999975,-0.52792810,-5.21807300
9.89999975,-0.52002330,-5.21807300
9.91999975,-0.52792810,-5.21807300
9.93999975,-0.52792810,-5.13902600
9.95999975,-0.52792810,-5.21807300
9.97999975,-0.52792810,-5.13902600
9.99999975,-0.52002330,-5.13902600
10.01999975,-0.52002330,-5.13902600
10.03999975,-0.52002330,-5.05997800
10.05999975,-0.52002330,-5.05997800
10.07999975,-0.52002330,-5.05997800
10.09999974,-0.52002330,-5.05997800
10.11999974,-0.52002330,-4.98093000
10.13999974,-0.51214940,-4.98093000
10.15999974,-0.52002330,-4.98093000
10.17999974,-0.51214940,-4.90188200
10.19999974,-0.52002330,-4.90188200
10.21999974,-0.51214940,-4.90188200
10.23999974,-0.51214940,-4.90188200
10.25999974,-0.51214940,-4.82283500
10.27999974,-0.51214940,-4.82283500
10.29999974,-0.51214940,-4.82283500
10.31999974,-0.51214940,-4.82283500
10.33999974,-0.51214940,-4.74378700
10.35999974,-0.51214940,-4.74378700
10.37999974,-0.51214940,-4.74378700
10.39999974,-0.51214940,-4.66473900
10.41999974,-0.51214940,-4.66473900
10.43999974,-0.50427530,-4.66473900
10.45999974,-0.51214940,-4.66473900
10.47999974,-0.51214940,-4.58569100
10.49999973,-0.50427530,-4.58569100
10.51999973,-0.50427530,-4.58569100
10.53999973,-0.50427530,-4.50664400
10.55999973,-0.50427530,-4.50664400
10.57999973,-0.49640130,-4.42759600
10.59999973,-0.50427530,-4.50664400
10.61999973,-0.49640130,-4.42759600
10.63999973,-0.49640130,-4.42759600
10.65999973,-0.49640130,-4.42759600
10.67999973,-0.49640130,-4.34854800
10.69999973,-0.49640130,-4.34854800
10.71999973,-0.49640130,-4.34854800
10.73999973,-0.48852730,-4.26919300
10.75999973,-0.48852730,-4.26919300
10.77999973,-0.48852730,-4.19014500
10.79999973,-0.48852730,-4.19014500
10.81999973,-0.48852730,-4.19014500
10.83999973,-0.48852730,-4.19014500
10.85999973,-0.48852730,-4.11109700
10.87999973,-0.48062250,-4.11109700
10.89999972,-0.48852730,-4.03205000
10.91999972,-0.48852730,-4.03205000
10.93999972,-0.48062250,-4.03205000
10.95999972,-0.48062250,-3.95300200
10.97999972,-0.48062250,-3.95300200
10.99999972,-0.48062250,-3.95300200
11.01999972,-0.48062250,-3.87395400
11.03999972,-0.48062250,-3.87395400
11.05999972,-0.47274850,-3.87395400
11.07999972,-0.47274850,-3.79490600
11.09999972,-0.47274850,-3.79490600
11.11999972,-0.47274850,-3.71585900
11.13999972,-0.47274850,-3.71585900
11.15999972,-0.47274850,-3.63681100
11.17999972,-0.47274850,-3.63681100
11.19999972,-0.46487450,-3.63681100
11.21999972,-0.46487450,-3.55776300
11.23999972,-0.46487450,-3.55776300
11.25999972,-0.46487450,-3.55776300
11.27999972,-0.45700050,-3.47871500
11.29999971,-0.45700050,-3.47871500
11.31999971,-0.45700050,-3.39966800
11.33999971,-0.45700050,-3.39966800
11.35999971,-0.45700050,-3.39966800
11.37999971,-0.45700050,-3.32062000
11.39999971,-0.45700050,-3.32062000
11.41999971,-0.45700050,-3.24157200
11.43999971,-0.44912650,-3.24157200
11.45999971,-0.44912650,-3.24157200
11.47999971,-0.44912650,-3.16252500
11.49999971,-0.44912650,-3.16252500
11.51999971,-0.44125250,-3.16252500
11.53999971,-0.44125250,-3.08347700
11.55999971,-0.44125250,-3.08347700
11.57999971,-0.43334770,-3.00442900
11.59999971,-0.44125250,-3.00442900
11.61999971,-0.44125250,-3.00442900
11.63999971,-0.44125250,-3.00442900
11.65999971,-0.43334770,-2.92538100
11.67999970,-0.43334770,-2.92538100
11.69999970,-0.43334770,-2.84602600
11.71999970,-0.43334770,-2.84602600
11.73999970,-0.43334770,-2.76697900
11.75999970,-0.43334770,-2.76697900
11.77999970,-0.43334770,-2.76697900
11.79999970,-0.43334770,-2.76697900
11.81999970,-0.42547370,-2.68793100
11.83999970,-0.42547370,-2.68793100
11.85999970,-0.42547370,-2.68793100
11.87999970,-0.42547370,-2.60888300
11.89999970,-0.42547370,-2.60888300
11.91999970,-0.41759960,-2.60888300
11.93999970,-0.41759960,-2.60888300
11.95999970,-0.42547370,-2.60888300
11.97999970,-0.41759960,-2.52983500
11.99999970,-0.41759960,-2.52983500
12.01999970,-0.41759960,-2.52983500
12.03999970,-0.41759960,-2.45078800
12.05999970,-0.41759960,-2.45078800
12.07999969,-0.40972560,-2.45078800
12.09999969,-0.40972560,-2.45078800
12.11999969,-0.40972560,-2.37174000
12.13999969,-0.40972560,-2.29269200
12.15999969,-0.40972560,-2.29269200
