Frequency,Channel A,Channel B
(ms),(mV),(V)

11.89999970,176.30410000,0.94334400
11.91999970,175.64280000,0.91227850
11.93999970,174.99690000,0.88090550
11.95999970,174.35100000,0.84953250
11.97999970,173.70510000,0.81785190
11.99999970,173.07450000,0.78647880
12.01999970,172.44400000,0.75510590
12.03999970,171.81350000,0.72404030
12.05999970,171.16760000,0.69266730
12.07999969,170.52170000,0.66129430
12.09999969,169.86040000,0.62992130
12.11999969,169.19910000,0.59824060
12.13999969,168.56850000,0.56686760
12.15999969,167.92260000,0.53549460
12.17999969,167.29210000,0.50381400
12.19999969,166.63080000,0.47244100
12.21999969,165.96950000,0.44076030
12.23999969,165.33890000,0.40938730
12.25999969,164.69300000,0.37739910
12.27999969,164.03170000,0.34571850
12.29999969,163.37040000,0.31434550
12.31999969,162.72450000,0.28235730
12.33999969,162.07860000,0.25067670
12.35999969,161.43270000,0.21899610
12.37999969,160.77140000,0.18731550
12.39999969,160.12550000,0.15594240
12.41999969,159.49490000,0.12426180
12.43999969,158.86440000,0.09288878
12.45999969,158.23390000,0.06090059
12.47999968,157.60330000,0.02952756
12.49999968,156.95740000,-0.00215305
12.51999968,156.31150000,-0.03352608
12.53999968,155.66560000,-0.06520669
12.55999968,155.03500000,-0.09688731
12.57999968,154.37370000,-0.12826030
12.59999968,153.71250000,-0.15994090
12.61999968,153.08190000,-0.19162160
12.63999968,152.43600000,-0.22299460
12.65999968,151.80550000,-0.25498280
12.67999968,151.15960000,-0.28666340
12.69999968,150.51370000,-0.31834400
12.71999968,149.85240000,-0.34971700
12.73999968,149.20640000,-0.38170520
12.75999968,148.57590000,-0.41338580
12.77999968,147.94540000,-0.44445130
12.79999968,147.31480000,-0.47643950
12.81999968,146.66890000,-0.50781250
12.83999968,146.03840000,-0.53918550
12.85999968,145.42320000,-0.57055850
12.87999967,144.76190000,-0.60193160
12.89999967,144.13140000,-0.63361220
12.91999967,143.48550000,-0.66498520
12.93999967,142.85490000,-0.69666590
12.95999967,142.20900000,-0.72803880
12.97999967,141.56310000,-0.75971950
12.99999967,140.94800000,-0.79109250
13.01999967,140.31740000,-0.82215790
13.03999967,139.67150000,-0.85353100
13.05999967,139.04100000,-0.88459650
13.07999967,138.39510000,-0.91596950
13.09999967,137.74910000,-0.94703500
13.11999967,137.11860000,-0.97810040
13.13999967,136.50340000,-1.00916600
13.15999967,135.87290000,-1.03992400
13.17999967,135.24240000,-1.07098900
13.19999967,134.62720000,-1.10174700
13.21999967,133.99670000,-1.13281300
13.23999967,133.39690000,-1.16387800
13.25999967,132.78170000,-1.19463600
13.27999966,132.16660000,-1.22570100
13.29999966,131.56680000,-1.25645900
13.31999966,130.93630000,-1.28721700
13.33999966,130.32110000,-1.31797500
13.35999966,129.72130000,-1.34842500
13.37999966,129.09080000,-1.37918300
13.39999966,128.47560000,-1.40963300
13.41999966,127.86050000,-1.44039100
13.43999966,127.22990000,-1.47084100
